1,Item ID,External Item ID,Product ID Type,Product Brand,Status,Sub Status ID,Sub Status Name,Title,Variation Set ID,Variation Set Name,Use Variations,Weight Major,Weight Minor,Dimension Length,Dimension Width,Dimension Depth,Business Profile ID,Business Profile Name,Created Date,Last Modified Date,Last List Date,Notes,VAT Percent,Folder ID,Folder Name,Origin Template ID,Origin Template Name,Consignment Plan ID,Consignment Plan Name,Is Taxable,Is Template,Is Consigned,CF_Custom1,CF_Custom2,Qty To List,SKU,Product ID,Starting Price,Reserve Price,Buy It Now Price,MSRP,Fixed Price,Variation1,Variation2,Variation3,Variation4,Variation5,Variation In Use,Variation Scarcity Level,Storage Location,Restock At,Pictures Path,Pictures Manual Picture URL,Pictures Generated URL,eBay Title,eBay Sub Title,eBay Condition Description,eBay Theme ID,eBay Description Wrapper ID,eBay Description Wrapper Name,eBay Description,eBay Compatibility Set ID,eBay Compatibility Set Name,eBay Listing Upgrade ID,eBay Listing Upgrade Name,eBay Shipping Preset ID,eBay Shipping Preset Name,eBay Payment Preset ID,eBay Payment Preset Name,eBay Lot Size,eBay Private,eBay Category1ID,eBay Category1Name,eBay Category2ID,eBay Category2Name,eBay Store Category1ID,eBay Store Category1Name,eBay Store Category2ID,eBay Store Category2Name,eBay Stock Photo URL,eBay Use Stock Title,eBay Use Stock Photo,eBay Use Stock Photo As Gallery,eBay Use Pre Written Summary,eBay Catalog Summary,eBay Best Offer,eBay Auto Decline BO,eBay Auto Decline BO Value,eBay Auto Decline BO Percent,eBay Auto Decline BO Value Type,eBay Auto Accept BO,eBay Auto Accept BO Value,eBay Auto Accept BO Percent,eBay Auto Accept BO Value Type,eBay Catalog Item,eBay Counter,eBay Self Host Pictures,eBay Picture Pack,eBay Charity Percent,eBay Charity ID,eBay Allocation Plan ID,eBay Allocation Plan Name,IS_Item Condition,IS_Type,IS_Brand,IS_Size,IS_Formulation,IS_Shade,IS_Effect,IS_Features,IS_MPN,IS_Product Line,IS_MyProductLine,IS_MyShade,IS_Color,IS_Material,IS_Size Type,IS_Skin Type,IS_Tinted,IS_Gender,IS_Form,IS_Special Properties,IS_Model,IS_Concerns,IS_Number of Sheets,IS_Length,IS_Style,IS_Target Area,IS_Manufacturer Color Name,IS_Product Type,IS_Eye Product Type,IS_Country/Region of Manufacture,IS_Country of Manufacture,IS_Scent,IS_Lip Product Type,IS_Form, Textures,IS_Pack of,IS_Expiration Date,IS_Textures,IS_Benefit,IS_Item_Condition
2,5967,,UPC,,AwaitingUpload,0,,Jordana Fabubrow Shape & Set Gel U Pick Choice,1663,,TRUE,0,3,0,0,0,1,MsssKel,2016-07-08T13:10:52.0000000,2016-07-14T06:12:05.0000000,,,0,134,JOR Lip,1,My Location 1,1,None,TRUE,FALSE,FALSE,,,0,JORFTG01,41065804516,0,0,0,0,7.95,01 Blonde,Pack of 1,,,,TRUE,0,JOREBPB,0,,,https://i.stack.imgur.com/tMbLc.png?s=128&g=1&g&s=32,[[MyProductLine]] [[MyShade]] Eye Brow Color Eyebrow Tint Brush,,,10,22,Copy of FREE Manual New,description,1,None,-1,,3,FREE U,4350,Normal + Immediate,1,TRUE,78089,Health & Beauty::Makeup::Eyes::Eyebrow Liner & Definition,-1,All,3096446,Jordana::Jordana Eye,8,Eye Products,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0,70,Value,FALSE,0,80,Value,FALSE,Hidden,FALSE,TRUE,0,0,-1,,New,Tinted Brow Gel,Jordana,Full Size,Gel,U Pick,"Colors, fills, and sets brows",Long Lasting,Eyes Eyebrows Makeup,Fabubrow Shape & Set Eyebrow Gel,Jordana [[Product Line]],[[Shade]],U Pick,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,Jordana Fabubrow Shape & Set Gel U Pick Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,0,JORFTG02,41065804523,0,0,0,0,7.95,02 Soft Brown,Pack of 1,,,,TRUE,0,JOREBPB,0,,,https://i.stack.imgur.com/tMbLc.png?s=128&g=1&g&s=32,[[MyProductLine]] [[MyShade]] Eye Brow Color Eyebrow Tint Brush,,,,,,"<p align=""left""><font color=""#400000"" face=""Arial""><strong>[[MyProductLine]]</strong></font><br /></p>[/n][/n]<p align=""center""><font size=""2""><font color=""#400000""><font face=""Arial"">Shade: </font><strong><font face=""Arial""><font size=""3""><font size=""2"">[[Shade]]<br /></font></font></font></strong></font></font></p>[/n][/n]<ul>[/n][/n]<li><font color=""#400000"" face=""Arial"">Fabubrow Shape &amp; Set Gel fills in thin, sparse brows with natural-looking color, keeps your arches on point and sets a look that will last</font> [/n][/n]</li><li><font color=""#400000"" face=""Arial"">Share this gel with your best girls—brow beauty has never been easier to achieve</font> [/n][/n]</li><li><font color=""#400000"" face=""Arial"">Fills in, defines &amp; colors brows </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Colors, fills and sets brows in one step </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Lightweight, lasting formula </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Easy-to-use brush for controlled application </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">5 buildable, natural-looking brow shades </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Made in USA</font></li></ul>[/n][/n]<p>&nbsp;</p>",,,,,,,,,,,,Health & Beauty::Makeup::Eyes::Eyebrow Liner & Definition,,,,,,Eye Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,Jordana Fabubrow Shape & Set Gel U Pick Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,0,JORFTG03,41065804530,0,0,0,0,15.11,03 Brunette,Pack of 1,,,,TRUE,0,JOREBPB,0,,,https://i.stack.imgur.com/tMbLc.png?s=128&g=1&g&s=32,[[MyProductLine]] [[MyShade]] Eye Brow Color Eyebrow Tint Brush,,,,,,"<p align=""left""><font color=""#400000"" face=""Arial""><strong>[[MyProductLine]]</strong></font><br /></p>[/n][/n]<p align=""center""><font size=""2""><font color=""#400000""><font face=""Arial"">Shade: </font><strong><font face=""Arial""><font size=""3""><font size=""2"">[[Shade]]<br /></font></font></font></strong></font></font></p>[/n][/n]<ul>[/n][/n]<li><font color=""#400000"" face=""Arial"">Fabubrow Shape &amp; Set Gel fills in thin, sparse brows with natural-looking color, keeps your arches on point and sets a look that will last</font> [/n][/n]</li><li><font color=""#400000"" face=""Arial"">Share this gel with your best girls—brow beauty has never been easier to achieve</font> [/n][/n]</li><li><font color=""#400000"" face=""Arial"">Fills in, defines &amp; colors brows </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Colors, fills and sets brows in one step </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Lightweight, lasting formula </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Easy-to-use brush for controlled application </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">5 buildable, natural-looking brow shades </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Made in USA</font></li></ul>[/n][/n]<p>&nbsp;</p>",,,,,,,,,,,,Health & Beauty::Makeup::Eyes::Eyebrow Liner & Definition,,,,,,Eye Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,Jordana Fabubrow Shape & Set Gel U Pick Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,0,JORFTG04,41065804547,0,0,0,0,7.95,04 Dark Brown,Pack of 1,,,,TRUE,0,JOREBPB,0,,,https://i.stack.imgur.com/tMbLc.png?s=128&g=1&g&s=32,[[MyProductLine]] [[MyShade]] Eye Brow Color Eyebrow Tint Brush,,,,,,"<p align=""left""><font color=""#400000"" face=""Arial""><strong>[[MyProductLine]]</strong></font><br /></p>[/n][/n]<p align=""center""><font size=""2""><font color=""#400000""><font face=""Arial"">Shade: </font><strong><font face=""Arial""><font size=""3""><font size=""2"">[[Shade]]<br /></font></font></font></strong></font></font></p>[/n][/n]<ul>[/n][/n]<li><font color=""#400000"" face=""Arial"">Fabubrow Shape &amp; Set Gel fills in thin, sparse brows with natural-looking color, keeps your arches on point and sets a look that will last</font> [/n][/n]</li><li><font color=""#400000"" face=""Arial"">Share this gel with your best girls—brow beauty has never been easier to achieve</font> [/n][/n]</li><li><font color=""#400000"" face=""Arial"">Fills in, defines &amp; colors brows </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Colors, fills and sets brows in one step </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Lightweight, lasting formula </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Easy-to-use brush for controlled application </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">5 buildable, natural-looking brow shades </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Made in USA</font></li></ul>[/n][/n]<p>&nbsp;</p>",,,,,,,,,,,,Health & Beauty::Makeup::Eyes::Eyebrow Liner & Definition,,,,,,Eye Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,Jordana Fabubrow Shape & Set Gel U Pick Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,0,JORFTG05,41065804554,0,0,0,0,7.95,05 Clear,Pack of 1,,,,TRUE,0,JOREBPB,0,,,https://i.stack.imgur.com/tMbLc.png?s=128&g=1&g&s=32,[[MyProductLine]] [[MyShade]] Eye Brow Color Eyebrow Tint Brush,,,,,,"<p align=""left""><font color=""#400000"" face=""Arial""><strong>[[MyProductLine]]</strong></font><br /></p>[/n][/n]<p align=""center""><font size=""2""><font color=""#400000""><font face=""Arial"">Shade: </font><strong><font face=""Arial""><font size=""3""><font size=""2"">[[Shade]]<br /></font></font></font></strong></font></font></p>[/n][/n]<ul>[/n][/n]<li><font color=""#400000"" face=""Arial"">Fabubrow Shape &amp; Set Gel fills in thin, sparse brows with natural-looking color, keeps your arches on point and sets a look that will last</font> [/n][/n]</li><li><font color=""#400000"" face=""Arial"">Share this gel with your best girls—brow beauty has never been easier to achieve</font> [/n][/n]</li><li><font color=""#400000"" face=""Arial"">Fills in, defines &amp; colors brows </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Colors, fills and sets brows in one step </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Lightweight, lasting formula </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Easy-to-use brush for controlled application </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">5 buildable, natural-looking brow shades </font>[/n][/n]</li><li><font color=""#400000"" face=""Arial"">Made in USA</font></li></ul>[/n][/n]<p>&nbsp;</p>",,,,,,,,,,,,Health & Beauty::Makeup::Eyes::Eyebrow Liner & Definition,,,,,,Eye Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
